date,ticker,price
2024-01-01,AAPL,149.73938884667652
2024-01-02,AAPL,149.67765510229552
2024-01-03,AAPL,149.0855211575901
2024-01-04,AAPL,150.09015691542774
2024-01-05,AAPL,149.91948884871763
2024-01-06,AAPL,151.59412994017072
2024-01-07,AAPL,151.95074782479827
2024-01-08,AAPL,151.24133170797143
2024-01-09,AAPL,152.3874676734038
2024-01-10,AAPL,149.51846442046838
2024-01-11,AAPL,149.0068280100145
2024-01-12,AAPL,148.93005909169125
2024-01-13,AAPL,147.1787856950234
2024-01-14,AAPL,147.47698169799588
2024-01-15,AAPL,148.2583526777055
2024-01-16,AAPL,147.4164034235724
2024-01-17,AAPL,148.36993190950105
2024-01-18,AAPL,147.76158380258923
2024-01-19,AAPL,148.42131815148167
2024-01-20,AAPL,146.8201380778115
